Song_name,Scale,Capo,Chords,Frequency_map_of_each_chord,bpm
Dream A Little Dream Of Me,C,no capo,"['G', 'Am', 'G/B', 'C', 'F#dim', 'G#13', 'G13', 'F#dim7', 'B7', 'A#7', 'A7', 'A7b9', 'F', 'Fm', 'G#7', 'G7', 'E7', 'A', 'F#m7', 'Bm7']","{'G': 2, 'Am': 1, 'G/B': 1, 'C': 24, 'F#dim': 1, 'G#13': 8, 'G13': 8, 'F#dim7': 10, 'B7': 5, 'A#7': 5, 'A7': 5, 'A7b9': 5, 'F': 5, 'Fm': 5, 'G#7': 10, 'G7': 9, 'E7': 7, 'A': 8, 'F#m7': 8, 'Bm7': 6}",NF
Make Room ,Key Not Find,no capo,"['G', 'D', 'Am', 'C', 'Am7', 'Cmaj7']","{'G': 27, 'D': 26, 'Am': 24, 'C': 23, 'Am7': 2, 'Cmaj7': 4}",122 
Matilda,D,no capo,"['D', 'Gmaj7', 'G', 'Bm', 'A', 'Asus4', 'Dmaj7', 'F#m', 'Em7', 'F#7', 'E7', 'G5', 'D6', 'F#', 'Em9']","{'D': 31, 'Gmaj7': 31, 'G': 9, 'Bm': 3, 'A': 1, 'Asus4': 1, 'Dmaj7': 1, 'F#m': 6, 'Em7': 1, 'F#7': 2, 'E7': 1, 'G5': 3, 'D6': 2, 'F#': 1, 'Em9': 1}",114 
Autumn Leaves,Bm,no capo,"['Bm', 'Em7', 'A7', 'Dmaj7', 'Gmaj7', 'C#dim', 'F#7']","{'Bm': 24, 'Em7': 6, 'A7': 6, 'Dmaj7': 9, 'Gmaj7': 4, 'C#dim': 15, 'F#7': 18}",83 
Cyberpunk 2077 - I Really Want To Stay At Your House,Key Not Find,no capo,"['B', 'F#', 'D#m', 'C#', 'Bm', 'G#m', 'A#m', 'F#m', 'G#']","{'B': 29, 'F#': 23, 'D#m': 31, 'C#': 29, 'Bm': 1, 'G#m': 4, 'A#m': 4, 'F#m': 3, 'G#': 3}",NF
Back In Black,E,no capo,"['E', 'D', 'A/C#', 'A', 'B', 'G', 'C']","{'E': 33, 'D': 25, 'A/C#': 11, 'A': 69, 'B': 45, 'G': 24, 'C': 1}",NF
Lithium,Key Not Find,no capo,"['D', 'F#m', 'Bm', 'G', 'A#', 'C', 'A']","{'D': 23, 'F#m': 23, 'Bm': 23, 'G': 55, 'A#': 55, 'C': 47, 'A': 25}",123 
Lyin Eyes,G,no capo,"['G', 'Gmaj7', 'C', 'Am', 'D7', 'D', 'Em', 'Bm', 'F/G', 'A7']","{'G': 51, 'Gmaj7': 22, 'C': 42, 'Am': 28, 'D7': 11, 'D': 13, 'Em': 3, 'Bm': 3, 'F/G': 3, 'A7': 3}",133 
Say It Aint So,Key Not Find,3rd fret,"['Am', 'E', 'F', 'C', 'G', 'G/F#', 'D#']","{'Am': 41, 'E': 41, 'F': 29, 'C': 37, 'G': 8, 'G/F#': 8, 'D#': 8}",NF
See You Again,Gm,3rd fret,"['Em', 'G', 'C', 'D']","{'Em': 33, 'G': 73, 'C': 40, 'D': 5}",80 
Oceans Where Feet May Fail,Bm,7th fret,"['Em', 'D/F#', 'G', 'D', 'C', 'D/D#', 'Am', 'D4']","{'Em': 27, 'D/F#': 12, 'G': 37, 'D': 37, 'C': 32, 'D/D#': 1, 'Am': 8, 'D4': 3}",132 
Dancing In The Moonlight,Key Not Find,3rd fret,"['Dm', 'G', 'C', 'G/B', 'Am']","{'Dm': 23, 'G': 23, 'C': 23, 'G/B': 23, 'Am': 23}",119 
Falling,E,no capo,"['E', 'C#m', 'B', 'A', 'G#m']","{'E': 13, 'C#m': 13, 'B': 12, 'A': 13, 'G#m': 11}",110 
Without You,Am,no capo,"['Am', 'Fmaj7', 'C', 'G', 'E']","{'Am': 15, 'Fmaj7': 15, 'C': 15, 'G': 13, 'E': 1}",93 
Mary,Key Not Find,no capo,"['G', 'Cmaj7', 'Gmaj7', 'Em', 'Bm', 'C', 'D', 'A']","{'G': 36, 'Cmaj7': 14, 'Gmaj7': 10, 'Em': 27, 'Bm': 2, 'C': 9, 'D': 6, 'A': 6}",106 
Bridge Over Troubled Water,D#,3rd fret,"['C', 'F', 'A#', 'G', 'Am', 'G7', 'C7', 'D', 'F#dim', 'A7sus', 'A7', 'E7', 'G9', 'D7', 'Fm', 'Fmaj7', 'D9', 'E']","{'C': 33, 'F': 38, 'A#': 3, 'G': 9, 'Am': 13, 'G7': 2, 'C7': 9, 'D': 3, 'F#dim': 4, 'A7sus': 3, 'A7': 3, 'E7': 5, 'G9': 1, 'D7': 1, 'Fm': 2, 'Fmaj7': 2, 'D9': 3, 'E': 2}",NF
Ceilings,Key Not Find,2nd fret,"['C', 'Em', 'G', 'D', 'B7']","{'C': 20, 'Em': 9, 'G': 10, 'D': 16, 'B7': 1}",148 
Run Away To Mars,Key Not Find,2nd fret,"['G', 'D', 'Em7', 'Cadd9', 'Em', 'Am7', 'Dsus4', 'Am']","{'G': 27, 'D': 23, 'Em7': 3, 'Cadd9': 17, 'Em': 15, 'Am7': 6, 'Dsus4': 3, 'Am': 4}",NF
G#out You,D,no capo,"['D', 'A', 'Bm', 'G']","{'D': 16, 'A': 26, 'Bm': 15, 'G': 13}",NF
Lemon Tree,Am,4th fret,"['F#dim7', 'G', 'Am', 'Em', 'Dm', 'C', 'F', 'G7', 'E']","{'F#dim7': 3, 'G': 14, 'Am': 38, 'Em': 38, 'Dm': 7, 'C': 9, 'F': 7, 'G7': 4, 'E': 2}",143 
I Still Havent Found What Im Looking For,C#,1st fret,"['C', 'Fsus2', 'G', 'Csus4', 'F']","{'C': 31, 'Fsus2': 15, 'G': 8, 'Csus4': 6, 'F': 2}",101 
Half The World Away,C,no capo,"['C', 'Fmaj7', 'C/B', 'Am', 'D7', 'E7', 'G', 'G7', 'Fm']","{'C': 27, 'Fmaj7': 31, 'C/B': 6, 'Am': 14, 'D7': 8, 'E7': 4, 'G': 2, 'G7': 2, 'Fm': 2}",115 
Friday Im In Love,D,no capo,"['D', 'G', 'A', 'Bm', 'C']","{'D': 30, 'G': 20, 'A': 24, 'Bm': 14, 'C': 4}",136 
Apocalypse,F,no capo,"['F', 'Dm', 'Am', 'C', 'A#', 'Gm7', 'Fmaj7', 'Gm']","{'F': 22, 'Dm': 15, 'Am': 11, 'C': 19, 'A#': 13, 'Gm7': 3, 'Fmaj7': 2, 'Gm': 1}",94 
Afterglow,B,4th fret,"['G', 'Cadd9', 'Dsus4', 'Em7']","{'G': 17, 'Cadd9': 22, 'Dsus4': 16, 'Em7': 5}",110 
Favorite Crime,A,2nd fret,"['G', 'Em', 'D', 'Cmaj7', 'Am']","{'G': 12, 'Em': 8, 'D': 9, 'Cmaj7': 9, 'Am': 2}",90 
Home,Bm,2nd fret,"['Am', 'C', 'C/E', 'F', 'Dm', 'G']","{'Am': 24, 'C': 49, 'C/E': 20, 'F': 25, 'Dm': 8, 'G': 8}",112 
Snuff,F#m,no capo,"['Am', 'Em', 'F', 'C', 'G', 'A5', 'B5', 'C5', 'E5', 'F5']","{'Am': 30, 'Em': 18, 'F': 21, 'C': 15, 'G': 12, 'A5': 1, 'B5': 1, 'C5': 1, 'E5': 1, 'F5': 1}",62 
I Walk The Line,F,1st fret,"['B7', 'E', 'A', 'E7', 'D', 'A7', 'G']","{'B7': 6, 'E': 8, 'A': 10, 'E7': 6, 'D': 6, 'A7': 3, 'G': 1}",212 
Video Games,Em,2nd fret,"['Em', 'G', 'Bm', 'C', 'D', 'Dsus4', 'F', 'D#aug']","{'Em': 44, 'G': 30, 'Bm': 14, 'C': 26, 'D': 5, 'Dsus4': 2, 'F': 6, 'D#aug': 3}",NF
Norwegian Wood,E,2nd fret,"['D', 'C', 'G', 'Dm', 'Em', 'A', 'E', 'F#m', 'B']","{'D': 16, 'C': 8, 'G': 12, 'Dm': 5, 'Em': 4, 'A': 4, 'E': 1, 'F#m': 1, 'B': 1}",NF
Highway To Hell,A,no capo,"['A', 'D/F#', 'G', 'E', 'D/A', 'D', 'Dsus4']","{'A': 90, 'D/F#': 75, 'G': 42, 'E': 2, 'D/A': 20, 'D': 5, 'Dsus4': 3}",116 
Riptide,A#m,6th fret,"['Em', 'Dadd9', 'G', 'D', 'C']","{'Em': 39, 'Dadd9': 37, 'G': 39, 'D': 2, 'C': 2}",98 
Stay ,C,no capo,"['Fmaj7', 'Cmaj7/G', 'Am7', 'Fm', 'D7', 'F']","{'Fmaj7': 7, 'Cmaj7/G': 13, 'Am7': 12, 'Fm': 6, 'D7': 3, 'F': 4}",78 
Rises The Moon,G,no capo,"['Am7', 'D7', 'Am', 'Cmaj7', 'F', 'Fm', 'C7']","{'Am7': 6, 'D7': 4, 'Am': 4, 'Cmaj7': 13, 'F': 8, 'Fm': 8, 'C7': 5}",137 
Demons,D,1st fret,"['D', 'A', 'Bm', 'G']","{'D': 20, 'A': 16, 'Bm': 16, 'G': 15}",90 
Wake Me Up When September Ends,G,no capo,"['G5', 'G5/F#', 'G5/E', 'G5/D', 'C', 'Cm', 'Em', 'Bm', 'D', 'D/F#', 'Dsus4']","{'G5': 38, 'G5/F#': 14, 'G5/E': 9, 'G5/D': 9, 'C': 16, 'Cm': 10, 'Em': 6, 'Bm': 6, 'D': 4, 'D/F#': 1, 'Dsus4': 2}",105 
Basket Case,D#,1st fret,"['E', 'A', 'D', 'G', 'B', 'Bm', 'F#m', 'C']","{'E': 1, 'A': 43, 'D': 41, 'G': 25, 'B': 1, 'Bm': 19, 'F#m': 6, 'C': 3}",NF
Dont Cry,Key Not Find,no capo,"['Am', 'Dm', 'G', 'C', 'F']","{'Am': 24, 'Dm': 12, 'G': 24, 'C': 15, 'F': 12}",NF
She Used To Be Mine,F,no capo,"['F', 'C', 'Dm', 'A#', 'A7/C#', 'Dm/C']","{'F': 12, 'C': 7, 'Dm': 10, 'A#': 10, 'A7/C#': 3, 'Dm/C': 1}",130 
Wind Of Change,C,no capo,"['F', 'Dm', 'Am', 'G', 'C', 'E']","{'F': 14, 'Dm': 35, 'Am': 23, 'G': 40, 'C': 29, 'E': 4}",76 
Heading South,Key Not Find,4th fret,"['Am', 'F', 'C', 'G']","{'Am': 17, 'F': 17, 'C': 17, 'G': 17}",200 
Say Something,Am,2nd fret,"['Am', 'F', 'C', 'Gsus4', 'Em']","{'Am': 15, 'F': 18, 'C': 21, 'Gsus4': 17, 'Em': 3}",47 
Yellow Submarine,F#,no capo,"['G', 'D', 'C', 'Em', 'Am']","{'G': 37, 'D': 35, 'C': 19, 'Em': 9, 'Am': 9}",111 
Lean On Me,C,no capo,"['C', 'F', 'Em', 'G9', 'G7', 'G']","{'C': 44, 'F': 14, 'Em': 7, 'G9': 1, 'G7': 11, 'G': 5}",75 
Both Sides Now,G,no capo,"['G', 'Am', 'C', 'Gmaj7', 'Am7', 'D', 'Bm', 'D7']","{'G': 74, 'Am': 12, 'C': 58, 'Gmaj7': 6, 'Am7': 6, 'D': 10, 'Bm': 4, 'D7': 4}",NF
7 Years,Gm,3rd fret,"['Em', 'G', 'C', 'D', 'G/B', 'Bsus4', 'B']","{'Em': 29, 'G': 25, 'C': 29, 'D': 39, 'G/B': 3, 'Bsus4': 1, 'B': 1}",NF
Harvest Moon,C,2nd fret,"['C', 'Am', 'F', 'G', 'Dm', 'D', 'Bm', 'Dmaj7', 'A', 'Em']","{'C': 33, 'Am': 22, 'F': 12, 'G': 16, 'Dm': 2, 'D': 14, 'Bm': 1, 'Dmaj7': 12, 'A': 4, 'Em': 2}",NF
La La Land - City Of Stars,Gm,no capo,"['Gm', 'C', 'Dm', 'F', 'F/E', 'Dm7', 'A', 'A#']","{'Gm': 11, 'C': 10, 'Dm': 8, 'F': 5, 'F/E': 2, 'Dm7': 6, 'A': 6, 'A#': 4}",100 
Fix You,D#,3rd fret,"['C', 'Em', 'Am7', 'Em/G', 'F', 'G', 'Gsus4']","{'C': 36, 'Em': 16, 'Am7': 18, 'Em/G': 13, 'F': 17, 'G': 16, 'Gsus4': 9}",69 
Mr Tambourine Man,F,3rd fret,"['D', 'Dsus2', 'G', 'A']","{'D': 66, 'Dsus2': 4, 'G': 73, 'A': 36}",NF
Heaven,C,no capo,"['C', 'Am', 'F', 'G', 'C/E', 'Dm', 'A#', 'A#/A', 'G/B', 'Gsus4']","{'C': 13, 'Am': 26, 'F': 28, 'G': 35, 'C/E': 4, 'Dm': 6, 'A#': 4, 'A#/A': 2, 'G/B': 1, 'Gsus4': 1}",NF
The Twilight Saga New Moon - Rosyln,Key Not Find,no capo,"['F', 'C', 'G', 'Dm7', 'Am', 'G2', 'G']","{'F': 11, 'C': 12, 'G': 3, 'Dm7': 7, 'Am': 4, 'G2': 1}",160 
Jealous,C,1st fret,"['C', 'F', 'Am', 'G', 'Dm', 'G7', 'F#dim7', 'F7b9', 'G#maj7', 'D#maj7', 'C7', 'Fm7', 'A#7', 'D#', 'Fm', 'Cm7', 'C#7-9', 'A#7-9', 'G#', 'Cm', 'A#', 'F7']","{'C': 26, 'F': 28, 'Am': 23, 'G': 11, 'Dm': 6, 'G7': 2, 'F#dim7': 2, 'F7b9': 1, 'G#maj7': 2, 'D#maj7': 2, 'C7': 2, 'Fm7': 3, 'A#7': 2, 'D#': 3, 'Fm': 1, 'Cm7': 1, 'C#7-9': 1, 'A#7-9': 1, 'G#': 4, 'Cm': 3, 'A#': 2, 'F7': 1}",85 
Under The Bridge,E,no capo,"['D', 'F#', 'E', 'B', 'C#m', 'G#m', 'A', 'Emaj7', 'F#m', 'B/F#', 'Am7', 'G6', 'Fmaj7', 'E7', 'Gmaj7', 'C']","{'D': 1, 'F#': 1, 'E': 22, 'B': 14, 'C#m': 14, 'G#m': 7, 'A': 18, 'Emaj7': 3, 'F#m': 12, 'B/F#': 8, 'Am7': 3, 'G6': 4, 'Fmaj7': 5, 'E7': 1, 'Gmaj7': 1, 'C': 1}",85 
Ill Be Home For Christmas,C,no capo,"['C', 'Em', 'Dm', 'G7', 'Gm', 'A', 'Fm', 'Am', 'D7', 'F', 'A7', 'G', 'E7', 'Cm']","{'C': 9, 'Em': 3, 'Dm': 6, 'G7': 4, 'Gm': 2, 'A': 2, 'Fm': 2, 'Am': 5, 'D7': 7, 'F': 1, 'A7': 5, 'G': 8, 'E7': 3, 'Cm': 1}",NF
Bigger Than The Whole Sky,F#,no capo,"['F#', 'C#', 'G#m', 'B']","{'F#': 18, 'C#': 18, 'G#m': 18, 'B': 18}",NF
Supermarket Flowers,C,6th fret,"['C', 'Dm', 'Em', 'F', 'Am', 'G', 'Dm7', 'Fadd9']","{'C': 38, 'Dm': 5, 'Em': 20, 'F': 36, 'Am': 11, 'G': 25, 'Dm7': 3, 'Fadd9': 2}",90 
Be Alright,G#m,4th fret,"['Em', 'C', 'G', 'D']","{'Em': 25, 'C': 24, 'G': 20, 'D': 28}",64 
Bad HG#it,Key Not Find,1st fret,"['Bm', 'C', 'G', 'Am', 'D', 'B', 'Em', 'B7']","{'Bm': 33, 'C': 40, 'G': 32, 'Am': 32, 'D': 7, 'B': 1, 'Em': 5, 'B7': 5}",84 
Away In A Manger,G,no capo,"['G', 'G7', 'C', 'D', 'D7', 'Am']","{'G': 21, 'G7': 6, 'C': 9, 'D': 6, 'D7': 6, 'Am': 3}",100 
Dancing In The Dark,B,4th fret,"['G', 'Em', 'C', 'Am', 'D', 'A', 'F#m', 'Bm', 'E']","{'G': 28, 'Em': 23, 'C': 19, 'Am': 16, 'D': 11, 'A': 1, 'F#m': 1, 'Bm': 1, 'E': 1}",NF
Isnt She Lovely,C#m,2nd fret,"['Bm7', 'E', 'E7', 'Em', 'A7', 'D', 'G', 'F#', 'F#m']","{'Bm7': 9, 'E': 9, 'E7': 9, 'Em': 9, 'A7': 9, 'D': 9, 'G': 6, 'F#': 3, 'F#m': 3}",119 
Havana,Gm,3rd fret,"['Em', 'C', 'B7']","{'Em': 48, 'C': 44, 'B7': 46}",105 
Ceilings,Key Not Find,2nd fret,"['Cmaj7', 'G', 'D/F#', 'B']","{'Cmaj7': 19, 'G': 16, 'D/F#': 17, 'B': 1}",145 
I Wont Back Down,G,no capo,"['Em', 'D', 'G', 'C']","{'Em': 29, 'D': 45, 'G': 49, 'C': 20}",114 
Let It Go,G,6th fret,"['Em', 'Em7/D', 'C#m7b5', 'Cmaj7', 'G', 'C', 'D', 'Em/C#', 'Am']","{'Em': 29, 'Em7/D': 1, 'C#m7b5': 1, 'Cmaj7': 1, 'G': 35, 'C': 25, 'D': 35, 'Em/C#': 4, 'Am': 9}",74 
Ghost,D,no capo,"['Bm', 'G', 'D', 'A', 'Em', 'F#m']","{'Bm': 21, 'G': 23, 'D': 20, 'A': 22, 'Em': 2, 'F#m': 2}",77 
Ho Hey,C,no capo,"['C', 'F', 'Am', 'G']","{'C': 36, 'F': 32, 'Am': 11, 'G': 14}",80 
Little Drummer Boy,G#,1st fret,"['G', 'C', 'D']","{'G': 29, 'C': 12, 'D': 11}",100 
Fake Plastic Trees,A,no capo,"['A', 'F#m7', 'E', 'E6', 'D5', 'Bm7', 'Asus']","{'A': 22, 'F#m7': 6, 'E': 6, 'E6': 6, 'D5': 12, 'Bm7': 10, 'Asus': 8}",NF
Toxic,Am,3rd fret,"['Am', 'C', 'E7', 'F7', 'D', 'G', 'B7', 'A#7']","{'Am': 42, 'C': 21, 'E7': 14, 'F7': 9, 'D': 1, 'G': 1, 'B7': 9, 'A#7': 9}",NF
No Time To Die,Em,no capo,"['Em', 'Cmaj7', 'Am', 'B7', 'A', 'Emmaj9']","{'Em': 26, 'Cmaj7': 27, 'Am': 25, 'B7': 11, 'A': 9, 'Emmaj9': 1}",75 
Shake The Frost,G,2nd fret,"['C/G', 'Am/B', 'Csus2', 'G', 'F', 'C', 'Am', 'Csus']","{'C/G': 15, 'Am/B': 10, 'Csus2': 3, 'G': 29, 'F': 16, 'C': 27, 'Am': 9, 'Csus': 5}",NF
